date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:16	46756/46756	---MCZ	200	added ('OK')	text/html	etag:W/%22b6a4-591d0ff3d8440%22	https://www.gretchencseibel.com/	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/index.html	(from )
14:42:16	50/50	---MCZ	200	added ('OK')	text/plain	date:Sun,%2028%20Feb%202021%2008:42:17%20GMT	https://www.gretchencseibel.com/robots.txt		(from )
14:42:16	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%225d713acc-47e%22	https://www.gretchencseibel.com/images/favicon.ico	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/images/favicon.ico	(from https://www.gretchencseibel.com/)
14:42:17	99961/99961	---MCZ	200	added ('OK')	text/css	etag:W/%225d713adb-18679%22	https://www.gretchencseibel.com/css/bootstrap.min.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/bootstrap.min.css	(from https://www.gretchencseibel.com/)
14:42:17	57193/57193	---MCZ	200	added ('OK')	text/css	etag:W/%225d713ae1-df69%22	https://www.gretchencseibel.com/assets/ionicons/css/ionicons.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/assets/ionicons/css/ionicons.css	(from https://www.gretchencseibel.com/)
14:42:17	25449/25449	---MCZ	200	added ('OK')	text/css	etag:W/%225d713adf-6369%22	https://www.gretchencseibel.com/assets/elegant-icons/style.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/assets/elegant-icons/style.css	(from https://www.gretchencseibel.com/)
14:42:18	1672/1672	---MCZ	200	added ('OK')	text/css	etag:W/%225d713adb-688%22	https://www.gretchencseibel.com/css/owl.theme.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/owl.theme.css	(from https://www.gretchencseibel.com/)
14:42:18	1476/1476	---MCZ	200	added ('OK')	text/css	etag:W/%225d713adb-5c4%22	https://www.gretchencseibel.com/css/owl.carousel.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/owl.carousel.css	(from https://www.gretchencseibel.com/)
14:42:18	5702/5702	---MCZ	200	added ('OK')	text/css	etag:W/%225d713adb-1646%22	https://www.gretchencseibel.com/css/nivo-lightbox.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo-lightbox.css	(from https://www.gretchencseibel.com/)
14:42:19	2909/2909	---MCZ	200	added ('OK')	text/css	etag:W/%225d713add-b5d%22	https://www.gretchencseibel.com/css/nivo_themes/default/default.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/nivo_themes/default/default.css	(from https://www.gretchencseibel.com/)
14:42:19	1822/1822	---MCZ	200	added ('OK')	text/css	etag:W/%225d713adc-71e%22	https://www.gretchencseibel.com/css/colors/orange.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/colors/orange.css	(from https://www.gretchencseibel.com/)
14:42:19	19289/19289	---MCZ	200	added ('OK')	text/css	etag:W/%225d713adb-4b59%22	https://www.gretchencseibel.com/css/styles.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/styles.css	(from https://www.gretchencseibel.com/)
14:42:20	4533/4533	---MCZ	200	added ('OK')	text/css	etag:W/%225d713adb-11b5%22	https://www.gretchencseibel.com/css/responsive.css	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/css/responsive.css	(from https://www.gretchencseibel.com/)
14:42:22	1647130/1647130	---M--	200	added ('OK')	image/jpeg	etag:%225d713adb-19221a%22	https://www.gretchencseibel.com/images/img_gretchen-c-seibel-teacher.jpg	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/images/img_gretchen-c-seibel-teacher.jpg	(from https://www.gretchencseibel.com/)
14:42:23	423135/423135	---M--	200	added ('OK')	image/png	etag:%225d713ad8-674df%22	https://www.gretchencseibel.com/images/img_newsletter.png	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/images/img_newsletter.png	(from https://www.gretchencseibel.com/)
14:42:24	3325343/3325343	---M--	200	added ('OK')	image/jpeg	etag:%225d713ad7-32bd9f%22	https://www.gretchencseibel.com/images/img_science.jpg	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/images/img_science.jpg	(from https://www.gretchencseibel.com/)
14:42:24	87112/87112	---M--	200	added ('OK')	application/pdf	etag:%225d713acc-15448%22	https://www.gretchencseibel.com/pdfs/GSeibel_3rd_Language-Arts_Inferences.pdf	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/pdfs/GSeibel_3rd_Language-Arts_Inferences.pdf	(from https://www.gretchencseibel.com/)
14:42:27	88397/88397	---M--	200	added ('OK')	application/pdf	etag:%225d713acb-1594d%22	https://www.gretchencseibel.com/pdfs/GSeibel_4th_Math_Equivalent-Fractions.pdf	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/pdfs/GSeibel_4th_Math_Equivalent-Fractions.pdf	(from https://www.gretchencseibel.com/)
14:42:28	82804/82804	---M--	200	added ('OK')	application/pdf	etag:%225d713aca-14374%22	https://www.gretchencseibel.com/pdfs/GSeibel_4th_Science_Chemicals.pdf	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/pdfs/GSeibel_4th_Science_Chemicals.pdf	(from https://www.gretchencseibel.com/)
14:42:28	72463/72463	---M--	200	added ('OK')	application/pdf	etag:%225d713aca-11b0f%22	https://www.gretchencseibel.com/pdfs/GSeibel_4th_Social-Studies_Mission.pdf	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/pdfs/GSeibel_4th_Social-Studies_Mission.pdf	(from https://www.gretchencseibel.com/)
14:42:28	91217/91217	---M--	200	added ('OK')	application/pdf	etag:%225d713aca-16451%22	https://www.gretchencseibel.com/pdfs/GSeibel_4th_Social-Studies_Geography.pdf	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/pdfs/GSeibel_4th_Social-Studies_Geography.pdf	(from https://www.gretchencseibel.com/)
14:42:28	92629/92629	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d713ae6-169d5%22	https://www.gretchencseibel.com/js/jquery.min.js	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/js/jquery.min.js	(from https://www.gretchencseibel.com/)
14:42:29	29110/29110	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d713ae6-71b6%22	https://www.gretchencseibel.com/js/bootstrap.min.js	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/js/bootstrap.min.js	(from https://www.gretchencseibel.com/)
14:42:29	2993/2993	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d713ae5-bb1%22	https://www.gretchencseibel.com/js/retina-1.1.0.min.js	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/js/retina-1.1.0.min.js	(from https://www.gretchencseibel.com/)
14:42:30	7374/7374	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d713ae5-1cce%22	https://www.gretchencseibel.com/js/smoothscroll.js	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/js/smoothscroll.js	(from https://www.gretchencseibel.com/)
14:42:30	2589/2589	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d713ae6-a1d%22	https://www.gretchencseibel.com/js/jquery.scrollTo.min.js	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/js/jquery.scrollTo.min.js	(from https://www.gretchencseibel.com/)
14:42:30	684380/684380	---M--	200	added ('OK')	image/jpeg	etag:%225d713ad6-a715c%22	https://www.gretchencseibel.com/images/img_reading.jpg	C:/My%20Web%20Sites/portfilo/www.gretchencseibel.com/images/img_reading.jpg	(from https://www.gretchencseibel.com/)
